batch-16-acum-1,batch-16-acum-2,batch-4-acum-1,batch-32-acum-1,batch-4-acum-4,batch-8-acum-1,batch-2-acum-1,batch-2-acum-8
5.360771,5.92357,5.881905,5.46284,6.199016,5.669845,5.895884,6.234093
5.35317,5.90544,5.83905,5.431056,6.176438,5.758742,6.159682,6.219494
5.344465,5.888653,5.868152,5.424898,6.197143,5.749084,6.088167,6.239517
5.391699,5.859613,5.774888,5.380392,6.239077,5.760817,6.007843,6.275776
5.371114,5.896392,5.757908,5.438206,6.219245,5.766484,5.856332,6.267493
5.376178,5.902044,5.91717,5.410203,6.20761,5.748188,6.022791,6.24954
5.377551,5.889849,5.844864,5.452924,6.242821,5.753892,5.915964,6.285011
5.401498,5.870784,5.825768,5.421533,6.215253,5.556307,6.022862,6.2588
5.425196,5.900324,5.788467,5.450901,6.259296,5.645297,5.814748,6.302357
5.386795,5.888679,5.893148,5.426157,6.21631,5.665121,6.082072,6.260953
5.415834,5.878376,5.820683,5.418197,6.21738,5.646335,5.818005,6.257348
5.373659,5.864272,5.922934,5.39374,6.208991,5.631628,5.893118,6.247956
5.351147,5.871519,5.746102,5.414757,6.222108,5.716169,5.964742,6.262154
5.31179,5.849361,5.747799,5.373937,6.170071,5.671848,5.952169,6.209914
5.393271,5.861277,5.768644,5.406505,6.223357,5.728251,5.914212,6.262145
5.311894,5.82509,5.846383,5.340823,6.160211,5.652326,5.889278,6.198113
5.274462,5.854499,5.896591,5.406348,6.088738,5.707425,6.029396,6.131615
5.275007,5.832357,5.840511,5.359965,6.135998,5.676546,5.802587,6.169641
5.342264,5.854487,5.80691,5.394341,6.190325,5.599949,5.716769,6.232365
5.319015,5.799958,5.80676,5.321148,6.165694,5.625145,5.988026,6.192495
5.323388,5.831103,5.749232,5.35423,6.17135,5.623621,6.00565,6.213308
5.338098,5.890695,5.743422,5.435675,6.161929,5.584327,5.921459,6.203782
5.257814,5.830733,5.877366,5.354994,6.106194,5.538038,5.806332,6.144931
5.256544,5.799428,5.702943,5.32107,6.109818,5.509897,5.874496,6.146084
5.180604,5.789132,5.700831,5.291526,6.063478,5.474438,5.870268,6.097437
5.254435,5.810889,5.871435,5.338833,6.115344,5.617576,6.007658,6.148249
5.283246,5.799381,5.884616,5.3234,6.151453,5.545902,5.956768,6.193166
5.242186,5.776543,5.730657,5.30471,6.123588,5.548613,5.830441,6.159638
5.305748,5.79138,5.606766,5.310462,6.160167,5.562357,5.913995,6.192888
5.220623,5.799475,5.813773,5.321907,6.117665,5.533534,5.926712,6.15466
5.231843,5.769329,5.698487,5.271347,6.087906,5.598848,5.731369,6.123239
5.207959,5.765144,5.701542,5.277142,6.074645,5.545121,5.865472,6.11741
5.207108,5.744021,5.730589,5.239911,6.060083,5.619054,5.9852,6.101288
5.264402,5.717339,5.829441,5.222329,6.141028,5.453911,5.936237,6.184953
5.213056,5.762474,5.728055,5.270453,6.091672,5.556539,5.725552,6.132538
5.245282,5.708858,5.724629,5.246284,6.109539,5.559009,5.73718,6.147033
5.188018,5.743016,5.704415,5.253787,6.053697,5.519908,5.871417,6.096822
5.168908,5.749706,5.753015,5.271288,6.044702,5.515158,5.72047,6.083841
5.20605,5.746193,5.614639,5.2638,6.107436,5.51824,5.888266,6.148129
5.192316,5.761445,5.789866,5.278977,6.030007,5.494916,5.836865,6.065056
5.167856,5.663201,5.683118,5.160629,6.069221,5.548192,5.772644,6.131435
5.18879,5.725471,5.668994,5.239938,6.063836,5.542777,5.899026,6.099074
5.152811,5.723722,5.715587,5.232072,6.046388,5.449111,5.900313,6.081183
5.191147,5.727318,5.639693,5.217829,6.089334,5.456103,5.764765,6.12905
5.134706,5.705765,5.695429,5.21338,6.015733,5.460666,5.571918,6.048257
